"ID";"Regions";"Periods";"AveragePurchasePrice_1"
"160";"PV20  ";"2005JJ00";"  168081"
"161";"PV20  ";"2006JJ00";"  177983"
"162";"PV20  ";"2007JJ00";"  186935"
"163";"PV20  ";"2008JJ00";"  188062"
"164";"PV20  ";"2009JJ00";"  181358"
"165";"PV20  ";"2010JJ00";"  177940"
"166";"PV20  ";"2011JJ00";"  180603"
"167";"PV20  ";"2012JJ00";"  172575"
"168";"PV20  ";"2013JJ00";"  163505"
"169";"PV20  ";"2014JJ00";"  165832"
"170";"PV20  ";"2015JJ00";"  171679"
"171";"PV20  ";"2016JJ00";"  180595"
"172";"PV20  ";"2017JJ00";"  195057"
"173";"PV20  ";"2018JJ00";"  205000"
"174";"PV20  ";"2019JJ00";"  219283"
"175";"PV20  ";"2020JJ00";"  241080"
"176";"PV20  ";"2021JJ00";"  283578"
"177";"PV20  ";"2022JJ00";"  319184"
"178";"PV20  ";"2023JJ00";"  313679"
"179";"PV20  ";"2024JJ00";"  339874"
"180";"PV21  ";"1995JJ00";"   67992"
"181";"PV21  ";"1996JJ00";"   74361"
"182";"PV21  ";"1997JJ00";"   82212"
"183";"PV21  ";"1998JJ00";"   91036"
"184";"PV21  ";"1999JJ00";"  106520"
"185";"PV21  ";"2000JJ00";"  125834"
"186";"PV21  ";"2001JJ00";"  140906"
"187";"PV21  ";"2002JJ00";"  156299"
"188";"PV21  ";"2003JJ00";"  161157"
"189";"PV21  ";"2004JJ00";"  172671"
"190";"PV21  ";"2005JJ00";"  178770"
"191";"PV21  ";"2006JJ00";"  190517"
"192";"PV21  ";"2007JJ00";"  197251"
"193";"PV21  ";"2008JJ00";"  203889"
"194";"PV21  ";"2009JJ00";"  193069"
"195";"PV21  ";"2010JJ00";"  195349"
"196";"PV21  ";"2011JJ00";"  191714"
"197";"PV21  ";"2012JJ00";"  180784"
"198";"PV21  ";"2013JJ00";"  169899"
"199";"PV21  ";"2014JJ00";"  174240"
"200";"PV21  ";"2015JJ00";"  180461"
"201";"PV21  ";"2016JJ00";"  187950"
"202";"PV21  ";"2017JJ00";"  201430"
"203";"PV21  ";"2018JJ00";"  216116"
"204";"PV21  ";"2019JJ00";"  230643"
"205";"PV21  ";"2020JJ00";"  254223"
"206";"PV21  ";"2021JJ00";"  290253"
"207";"PV21  ";"2022JJ00";"  325113"
"208";"PV21  ";"2023JJ00";"  323765"
"209";"PV21  ";"2024JJ00";"  350624"
"210";"PV22  ";"1995JJ00";"   84984"
"211";"PV22  ";"1996JJ00";"   91422"
"212";"PV22  ";"1997JJ00";"   95585"
"213";"PV22  ";"1998JJ00";"  107476"
"214";"PV22  ";"1999JJ00";"  124071"
"215";"PV22  ";"2000JJ00";"  147524"
"216";"PV22  ";"2001JJ00";"  162681"
"217";"PV22  ";"2002JJ00";"  171613"
"218";"PV22  ";"2003JJ00";"  176452"
"219";"PV22  ";"2004JJ00";"  182054"
"220";"PV22  ";"2005JJ00";"  192449"
"221";"PV22  ";"2006JJ00";"  205685"
"222";"PV22  ";"2007JJ00";"  215473"
"223";"PV22  ";"2008JJ00";"  214763"
"224";"PV22  ";"2009JJ00";"  199306"
"225";"PV22  ";"2010JJ00";"  205264"
"226";"PV22  ";"2011JJ00";"  203389"
"227";"PV22  ";"2012JJ00";"  193844"
"228";"PV22  ";"2013JJ00";"  181850"
"229";"PV22  ";"2014JJ00";"  185239"
"230";"PV22  ";"2015JJ00";"  194566"
"231";"PV22  ";"2016JJ00";"  205504"
"232";"PV22  ";"2017JJ00";"  213562"
"233";"PV22  ";"2018JJ00";"  228433"
"234";"PV22  ";"2019JJ00";"  241941"
"235";"PV22  ";"2020JJ00";"  266616"
"236";"PV22  ";"2021JJ00";"  316653"
"237";"PV22  ";"2022JJ00";"  355510"
"238";"PV22  ";"2023JJ00";"  349757"
"239";"PV22  ";"2024JJ00";"  380809"
"240";"PV23  ";"1995JJ00";"   83597"
"241";"PV23  ";"1996JJ00";"   90786"
"242";"PV23  ";"1997JJ00";"  102179"
"243";"PV23  ";"1998JJ00";"  110332"
"244";"PV23  ";"1999JJ00";"  128295"
"245";"PV23  ";"2000JJ00";"  152617"
"246";"PV23  ";"2001JJ00";"  170174"
"247";"PV23  ";"2002JJ00";"  178482"
"248";"PV23  ";"2003JJ00";"  185090"
"249";"PV23  ";"2004JJ00";"  191927"
"250";"PV23  ";"2005JJ00";"  198475"
"251";"PV23  ";"2006JJ00";"  206909"
"252";"PV23  ";"2007JJ00";"  215724"
"253";"PV23  ";"2008JJ00";"  219612"
"254";"PV23  ";"2009JJ00";"  212375"
"255";"PV23  ";"2010JJ00";"  211088"
"256";"PV23  ";"2011JJ00";"  208185"
"257";"PV23  ";"2012JJ00";"  202549"
"258";"PV23  ";"2013JJ00";"  189733"
"259";"PV23  ";"2014JJ00";"  197070"
"260";"PV23  ";"2015JJ00";"  198713"
"261";"PV23  ";"2016JJ00";"  210683"
"262";"PV23  ";"2017JJ00";"  227193"
"263";"PV23  ";"2018JJ00";"  244270"
"264";"PV23  ";"2019JJ00";"  260130"
"265";"PV23  ";"2020JJ00";"  282983"
"266";"PV23  ";"2021JJ00";"  325701"
"267";"PV23  ";"2022JJ00";"  365460"
"268";"PV23  ";"2023JJ00";"  365733"
"269";"PV23  ";"2024JJ00";"  393428"
"270";"PV24  ";"1995JJ00";"   91262"
"271";"PV24  ";"1996JJ00";"   97970"
"272";"PV24  ";"1997JJ00";"   99788"
"273";"PV24  ";"1998JJ00";"  108375"
"274";"PV24  ";"1999JJ00";"  123189"
"275";"PV24  ";"2000JJ00";"  155987"
"276";"PV24  ";"2001JJ00";"  161364"
"277";"PV24  ";"2002JJ00";"  179349"
"278";"PV24  ";"2003JJ00";"  188406"
"279";"PV24  ";"2004JJ00";"  191995"
"280";"PV24  ";"2005JJ00";"  196149"
"281";"PV24  ";"2006JJ00";"  206641"
"282";"PV24  ";"2007JJ00";"  212973"
"283";"PV24  ";"2008JJ00";"  219260"
"284";"PV24  ";"2009JJ00";"  205904"
"285";"PV24  ";"2010JJ00";"  206530"
"286";"PV24  ";"2011JJ00";"  199148"
"287";"PV24  ";"2012JJ00";"  189322"
"288";"PV24  ";"2013JJ00";"  178294"
"289";"PV24  ";"2014JJ00";"  188445"
"290";"PV24  ";"2015JJ00";"  194188"
"291";"PV24  ";"2016JJ00";"  204317"
"292";"PV24  ";"2017JJ00";"  226753"
"293";"PV24  ";"2018JJ00";"  253875"
"294";"PV24  ";"2019JJ00";"  269589"
"295";"PV24  ";"2020JJ00";"  301754"
"296";"PV24  ";"2021JJ00";"  351576"
"297";"PV24  ";"2022JJ00";"  405900"
"298";"PV24  ";"2023JJ00";"  394736"
"299";"PV24  ";"2024JJ00";"  422630"
"300";"PV25  ";"1995JJ00";"  101759"
"301";"PV25  ";"1996JJ00";"  112124"
"302";"PV25  ";"1997JJ00";"  123558"
"303";"PV25  ";"1998JJ00";"  138226"
"304";"PV25  ";"1999JJ00";"  161724"
"305";"PV25  ";"2000JJ00";"  190676"
"306";"PV25  ";"2001JJ00";"  208459"
"307";"PV25  ";"2002JJ00";"  216950"
"308";"PV25  ";"2003JJ00";"  221397"
"309";"PV25  ";"2004JJ00";"  230637"
"310";"PV25  ";"2005JJ00";"  236534"
"311";"PV25  ";"2006JJ00";"  248968"
"312";"PV25  ";"2007JJ00";"  261513"
"313";"PV25  ";"2008JJ00";"  264983"
"314";"PV25  ";"2009JJ00";"  247406"
"315";"PV25  ";"2010JJ00";"  245990"
"316";"PV25  ";"2011JJ00";"  245088"
"317";"PV25  ";"2012JJ00";"  233365"
"318";"PV25  ";"2013JJ00";"  215875"
"319";"PV25  ";"2014JJ00";"  221921"
"320";"PV25  ";"2015JJ00";"  227324"
"321";"PV25  ";"2016JJ00";"  237769"
"322";"PV25  ";"2017JJ00";"  255392"
"323";"PV25  ";"2018JJ00";"  275915"
"324";"PV25  ";"2019JJ00";"  296243"
"325";"PV25  ";"2020JJ00";"  323723"
"326";"PV25  ";"2021JJ00";"  379346"
"327";"PV25  ";"2022JJ00";"  422110"
"328";"PV25  ";"2023JJ00";"  413316"
"329";"PV25  ";"2024JJ00";"  446181"
"330";"PV26  ";"1995JJ00";"  109909"
"331";"PV26  ";"1996JJ00";"  118383"
"332";"PV26  ";"1997JJ00";"  135128"
"333";"PV26  ";"1998JJ00";"  150746"
"334";"PV26  ";"1999JJ00";"  179524"
"335";"PV26  ";"2000JJ00";"  210598"
"336";"PV26  ";"2001JJ00";"  225623"
"337";"PV26  ";"2002JJ00";"  233166"
"338";"PV26  ";"2003JJ00";"  237360"
"339";"PV26  ";"2004JJ00";"  247971"
"340";"PV26  ";"2005JJ00";"  257807"
"341";"PV26  ";"2006JJ00";"  272931"
"342";"PV26  ";"2007JJ00";"  290511"
"343";"PV26  ";"2008JJ00";"  301065"
"344";"PV26  ";"2009JJ00";"  280228"
"345";"PV26  ";"2010JJ00";"  283922"
"346";"PV26  ";"2011JJ00";"  282944"
"347";"PV26  ";"2012JJ00";"  267112"
"348";"PV26  ";"2013JJ00";"  249506"
"349";"PV26  ";"2014JJ00";"  256282"
"350";"PV26  ";"2015JJ00";"  264382"
"351";"PV26  ";"2016JJ00";"  282981"
"352";"PV26  ";"2017JJ00";"  316244"
"353";"PV26  ";"2018JJ00";"  349404"
"354";"PV26  ";"2019JJ00";"  371727"
"355";"PV26  ";"2020JJ00";"  404811"
"356";"PV26  ";"2021JJ00";"  460992"
"357";"PV26  ";"2022JJ00";"  510098"
"358";"PV26  ";"2023JJ00";"  476555"
"359";"PV26  ";"2024JJ00";"  526771"
"360";"PV27  ";"1995JJ00";"  101308"
"361";"PV27  ";"1996JJ00";"  110897"
"362";"PV27  ";"1997JJ00";"  122776"
"363";"PV27  ";"1998JJ00";"  141255"
"364";"PV27  ";"1999JJ00";"  168100"
"365";"PV27  ";"2000JJ00";"  203428"
"366";"PV27  ";"2001JJ00";"  220723"
"367";"PV27  ";"2002JJ00";"  230964"
"368";"PV27  ";"2003JJ00";"  229682"
"369";"PV27  ";"2004JJ00";"  236614"
"370";"PV27  ";"2005JJ00";"  247406"
"371";"PV27  ";"2006JJ00";"  263306"
"372";"PV27  ";"2007JJ00";"  285839"
"373";"PV27  ";"2008JJ00";"  295730"
"374";"PV27  ";"2009JJ00";"  273913"
"375";"PV27  ";"2010JJ00";"  275914"
"376";"PV27  ";"2011JJ00";"  279072"
"377";"PV27  ";"2012JJ00";"  258872"
"378";"PV27  ";"2013JJ00";"  243147"
"379";"PV27  ";"2014JJ00";"  257128"
"380";"PV27  ";"2015JJ00";"  273911"
"381";"PV27  ";"2016JJ00";"  301899"
"382";"PV27  ";"2017JJ00";"  333082"
"383";"PV27  ";"2018JJ00";"  373688"
"384";"PV27  ";"2019JJ00";"  396601"
